strategy,sector,regime,signals,win_rate,avg_r,alpha,best_session,flag,quality_score
momentum,tech,bull_trending,9,33.3,-7.56,-1.42,mid,LOW_SAMPLE,0.0
momentum,tech,bull_choppy,7,14.3,-20.85,-25.71,mid,LOW_SAMPLE,0.0
momentum,tech,bear_trending,11,18.2,-14.0,-17.54,mid,LOW_SAMPLE,0.0
momentum,tech,bear_choppy,12,25.0,-10.75,-19.84,mid,LOW_SAMPLE,0.0
mean_reversion,tech,bull_trending,6,50.0,1.17,16.0,mid,LOW_SAMPLE,1.045
mean_reversion,tech,bull_choppy,11,54.5,2.0,55.56,mid,LOW_SAMPLE,2.616
mean_reversion,tech,bear_trending,11,18.2,-19.46,-33.42,mid,LOW_SAMPLE,0.0
mean_reversion,tech,bear_choppy,13,23.1,-17.15,-17.62,mid,LOW_SAMPLE,0.0
breakout,tech,bull_trending,1,0.0,-25.01,-1.19,mid,LOW_SAMPLE,0.0
breakout,tech,bull_choppy,3,33.3,-2.0,7.36,mid,LOW_SAMPLE,0.0
breakout,tech,bear_trending,6,50.0,5.83,34.53,mid,LOW_SAMPLE,5.224
breakout,tech,bear_choppy,5,60.0,8.0,39.04,mid,LOW_SAMPLE,7.728
supertrend,tech,bull_trending,4,25.0,-11.5,3.85,mid,LOW_SAMPLE,0.0
supertrend,tech,bull_choppy,4,50.0,-0.25,13.69,mid,LOW_SAMPLE,0.0
supertrend,tech,bear_trending,12,58.3,12.83,65.59,mid,LOW_SAMPLE,18.6
supertrend,tech,bear_choppy,6,33.3,-7.0,2.9,mid,LOW_SAMPLE,0.0
stoch_rsi,tech,bull_trending,3,33.3,-9.0,9.22,mid,LOW_SAMPLE,0.0
stoch_rsi,tech,bull_choppy,2,0.0,-18.5,-2.8,mid,LOW_SAMPLE,0.0
stoch_rsi,tech,bear_trending,6,66.7,20.0,52.42,mid,LOW_SAMPLE,23.888
stoch_rsi,tech,bear_choppy,7,42.9,-3.29,20.45,mid,LOW_SAMPLE,0.0
vwap_reclaim,tech,bull_trending,0,0.0,0.0,6.01,mid,LOW_SAMPLE,0.0
vwap_reclaim,tech,bull_choppy,0,0.0,0.0,6.01,mid,LOW_SAMPLE,0.0
vwap_reclaim,tech,bear_trending,0,0.0,0.0,6.01,mid,LOW_SAMPLE,0.0
vwap_reclaim,tech,bear_choppy,0,0.0,0.0,6.01,mid,LOW_SAMPLE,0.0
gap,tech,bull_trending,1,0.0,-26.0,-1.17,mid,LOW_SAMPLE,0.0
gap,tech,bull_choppy,5,20.0,-14.2,-3.42,mid,LOW_SAMPLE,0.0
gap,tech,bear_trending,10,70.0,18.1,100.5,mid,LOW_SAMPLE,29.172
gap,tech,bear_choppy,7,57.1,-1.28,42.8,mid,LOW_SAMPLE,0.0
liquidity_sweep,tech,bull_trending,4,25.0,-13.5,5.2,mid,LOW_SAMPLE,0.0
liquidity_sweep,tech,bull_choppy,5,60.0,4.6,27.6,mid,LOW_SAMPLE,4.442
liquidity_sweep,tech,bear_trending,5,20.0,-30.6,1.26,mid,LOW_SAMPLE,0.0
liquidity_sweep,tech,bear_choppy,8,25.0,-14.5,-23.29,mid,LOW_SAMPLE,0.0
futures_trend,tech,bull_trending,12,25.0,-15.33,-36.24,mid,LOW_SAMPLE,0.0
futures_trend,tech,bull_choppy,2,50.0,-1.5,13.76,mid,LOW_SAMPLE,0.0
futures_trend,tech,bear_trending,22,31.8,-15.59,-3.28,mid,LOW_SAMPLE,0.0
futures_trend,tech,bear_choppy,2,50.0,19.5,5.49,mid,LOW_SAMPLE,6.757
momentum,semi,bull_trending,16,18.8,-18.63,-151.92,mid,LOW_SAMPLE,0.0
momentum,semi,bull_choppy,7,85.7,23.0,23.13,mid,LOW_SAMPLE,38.365
momentum,semi,bear_trending,4,25.0,-17.24,-105.18,mid,LOW_SAMPLE,0.0
momentum,semi,bear_choppy,7,28.6,-15.28,-55.37,mid,LOW_SAMPLE,0.0
mean_reversion,semi,bull_trending,13,30.8,-11.85,-68.05,mid,LOW_SAMPLE,0.0
mean_reversion,semi,bull_choppy,13,30.8,-10.92,-78.34,mid,LOW_SAMPLE,0.0
mean_reversion,semi,bear_trending,6,50.0,-1.0,-68.86,mid,LOW_SAMPLE,0.0
mean_reversion,semi,bear_choppy,6,83.3,17.5,41.39,mid,LOW_SAMPLE,26.135
breakout,semi,bull_trending,5,20.0,-11.2,-101.96,mid,LOW_SAMPLE,0.0
breakout,semi,bull_choppy,3,33.3,-11.67,-73.69,mid,LOW_SAMPLE,0.0
breakout,semi,bear_trending,3,66.7,16.33,-32.35,mid,LOW_SAMPLE,11.961
breakout,semi,bear_choppy,1,0.0,-42.0,-92.75,mid,LOW_SAMPLE,0.0
supertrend,semi,bull_trending,14,21.4,-17.43,-130.45,mid,LOW_SAMPLE,0.0
supertrend,semi,bull_choppy,5,80.0,15.2,-15.09,mid,LOW_SAMPLE,19.572
supertrend,semi,bear_trending,5,40.0,-9.4,-79.71,mid,LOW_SAMPLE,0.0
supertrend,semi,bear_choppy,7,14.3,-22.0,-139.12,mid,LOW_SAMPLE,0.0
stoch_rsi,semi,bull_trending,9,44.4,-5.89,-27.02,mid,LOW_SAMPLE,0.0
stoch_rsi,semi,bull_choppy,11,27.3,-14.18,-93.83,mid,LOW_SAMPLE,0.0
stoch_rsi,semi,bear_trending,2,50.0,4.99,-79.14,mid,LOW_SAMPLE,1.731
stoch_rsi,semi,bear_choppy,6,0.0,-39.16,-131.9,mid,LOW_SAMPLE,0.0
vwap_reclaim,semi,bull_trending,0,0.0,0.0,-77.89,mid,LOW_SAMPLE,0.0
vwap_reclaim,semi,bull_choppy,0,0.0,0.0,-77.89,mid,LOW_SAMPLE,0.0
vwap_reclaim,semi,bear_trending,0,0.0,0.0,-77.89,mid,LOW_SAMPLE,0.0
vwap_reclaim,semi,bear_choppy,0,0.0,0.0,-77.89,mid,LOW_SAMPLE,0.0
gap,semi,bull_trending,13,23.1,-15.62,-130.91,mid,LOW_SAMPLE,0.0
gap,semi,bull_choppy,14,35.7,-7.72,-74.6,mid,LOW_SAMPLE,0.0
gap,semi,bear_trending,3,0.0,-49.0,-96.4,mid,LOW_SAMPLE,0.0
gap,semi,bear_choppy,3,33.3,2.34,-89.94,mid,LOW_SAMPLE,0.0
liquidity_sweep,semi,bull_trending,6,16.7,-19.5,-100.92,mid,LOW_SAMPLE,0.0
liquidity_sweep,semi,bull_choppy,6,0.0,-30.33,-122.29,mid,LOW_SAMPLE,0.0
liquidity_sweep,semi,bear_trending,2,0.0,-51.99,-87.86,mid,LOW_SAMPLE,0.0
liquidity_sweep,semi,bear_choppy,6,16.7,-21.34,-113.43,mid,LOW_SAMPLE,0.0
futures_trend,semi,bull_trending,16,37.5,-8.69,-78.39,mid,LOW_SAMPLE,0.0
futures_trend,semi,bull_choppy,2,0.0,-31.0,-100.16,mid,LOW_SAMPLE,0.0
futures_trend,semi,bear_trending,8,37.5,-12.87,-52.67,mid,LOW_SAMPLE,0.0
futures_trend,semi,bear_choppy,0,0.0,0.0,-77.89,mid,LOW_SAMPLE,0.0
momentum,cloud,bull_trending,5,20.0,-39.79,0.17,mid,LOW_SAMPLE,0.0
momentum,cloud,bull_choppy,7,14.3,-29.15,-31.51,mid,LOW_SAMPLE,0.0
momentum,cloud,bear_trending,10,60.0,2.5,107.42,mid,LOW_SAMPLE,3.453
momentum,cloud,bear_choppy,10,30.0,-12.8,-17.58,mid,LOW_SAMPLE,0.0
mean_reversion,cloud,bull_trending,3,66.7,-8.02,38.13,mid,LOW_SAMPLE,0.0
mean_reversion,cloud,bull_choppy,10,60.0,11.9,94.13,mid,LOW_SAMPLE,16.443
mean_reversion,cloud,bear_trending,12,16.7,-24.75,-50.02,mid,LOW_SAMPLE,0.0
mean_reversion,cloud,bear_choppy,16,31.2,-20.45,8.59,mid,LOW_SAMPLE,0.0
breakout,cloud,bull_trending,0,0.0,0.0,20.09,mid,LOW_SAMPLE,0.0
breakout,cloud,bull_choppy,2,0.0,-31.0,3.92,mid,LOW_SAMPLE,0.0
breakout,cloud,bear_trending,5,80.0,18.6,50.59,mid,LOW_SAMPLE,23.947
breakout,cloud,bear_choppy,8,62.5,16.0,89.55,mid,LOW_SAMPLE,20.797
supertrend,cloud,bull_trending,0,0.0,0.0,20.09,mid,LOW_SAMPLE,0.0
supertrend,cloud,bull_choppy,9,22.2,-20.34,-7.69,mid,LOW_SAMPLE,0.0
supertrend,cloud,bear_trending,17,41.2,-12.59,-7.91,mid,LOW_SAMPLE,0.0
supertrend,cloud,bear_choppy,8,50.0,-12.75,65.6,mid,LOW_SAMPLE,0.0
stoch_rsi,cloud,bull_trending,2,50.0,16.5,31.7,mid,LOW_SAMPLE,5.72
stoch_rsi,cloud,bull_choppy,8,12.5,-33.75,-13.61,mid,LOW_SAMPLE,0.0
stoch_rsi,cloud,bear_trending,8,50.0,-1.87,57.15,mid,LOW_SAMPLE,0.0
stoch_rsi,cloud,bear_choppy,5,80.0,34.0,76.63,mid,LOW_SAMPLE,43.78
vwap_reclaim,cloud,bull_trending,0,0.0,0.0,20.09,mid,LOW_SAMPLE,0.0
vwap_reclaim,cloud,bull_choppy,0,0.0,0.0,20.09,mid,LOW_SAMPLE,0.0
vwap_reclaim,cloud,bear_trending,0,0.0,0.0,20.09,mid,LOW_SAMPLE,0.0
vwap_reclaim,cloud,bear_choppy,0,0.0,0.0,20.09,mid,LOW_SAMPLE,0.0
gap,cloud,bull_trending,3,33.3,-1.67,26.47,mid,LOW_SAMPLE,0.0
gap,cloud,bull_choppy,9,33.3,-26.55,26.07,mid,LOW_SAMPLE,0.0
gap,cloud,bear_trending,13,30.8,-26.0,-47.2,mid,LOW_SAMPLE,0.0
gap,cloud,bear_choppy,10,40.0,-16.6,20.8,mid,LOW_SAMPLE,0.0
liquidity_sweep,cloud,bull_trending,3,33.3,-2.67,22.89,mid,LOW_SAMPLE,0.0
liquidity_sweep,cloud,bull_choppy,6,16.7,-56.19,-13.68,mid,LOW_SAMPLE,0.0
liquidity_sweep,cloud,bear_trending,6,66.7,-7.99,74.15,mid,LOW_SAMPLE,0.0
liquidity_sweep,cloud,bear_choppy,7,42.9,-12.56,51.79,mid,LOW_SAMPLE,0.0
futures_trend,cloud,bull_trending,5,20.0,-27.99,3.75,mid,LOW_SAMPLE,0.0
futures_trend,cloud,bull_choppy,3,0.0,-32.0,-4.17,mid,LOW_SAMPLE,0.0
futures_trend,cloud,bear_trending,19,52.6,-2.26,98.74,mid,LOW_SAMPLE,0.0
futures_trend,cloud,bear_choppy,1,100.0,28.0,39.31,mid,LOW_SAMPLE,0.0
momentum,cyber,bull_trending,0,0.0,0.0,14.24,mid,LOW_SAMPLE,0.0
momentum,cyber,bull_choppy,2,50.0,-0.0,24.54,mid,LOW_SAMPLE,0.0
momentum,cyber,bear_trending,3,33.3,-8.33,26.16,mid,LOW_SAMPLE,0.0
momentum,cyber,bear_choppy,5,0.0,-23.6,-24.2,mid,LOW_SAMPLE,0.0
mean_reversion,cyber,bull_trending,0,0.0,0.0,14.24,mid,LOW_SAMPLE,0.0
mean_reversion,cyber,bull_choppy,2,100.0,25.5,40.98,mid,LOW_SAMPLE,17.675
mean_reversion,cyber,bear_trending,6,33.3,-8.83,9.79,mid,LOW_SAMPLE,0.0
mean_reversion,cyber,bear_choppy,3,0.0,-37.67,-8.13,mid,LOW_SAMPLE,0.0
breakout,cyber,bull_trending,0,0.0,0.0,14.24,mid,LOW_SAMPLE,0.0
breakout,cyber,bull_choppy,1,0.0,-15.0,7.95,mid,LOW_SAMPLE,0.0
breakout,cyber,bear_trending,3,0.0,-36.0,-10.16,mid,LOW_SAMPLE,0.0
breakout,cyber,bear_choppy,1,0.0,-46.99,6.9,mid,LOW_SAMPLE,0.0
supertrend,cyber,bull_trending,0,0.0,0.0,14.24,mid,LOW_SAMPLE,0.0
supertrend,cyber,bull_choppy,1,0.0,-14.0,8.05,mid,LOW_SAMPLE,0.0
supertrend,cyber,bear_trending,5,20.0,-17.4,-7.42,mid,LOW_SAMPLE,0.0
supertrend,cyber,bear_choppy,1,0.0,-16.0,7.48,mid,LOW_SAMPLE,0.0
stoch_rsi,cyber,bull_trending,0,0.0,0.0,14.24,mid,LOW_SAMPLE,0.0
stoch_rsi,cyber,bull_choppy,2,0.0,-25.99,2.17,mid,LOW_SAMPLE,0.0
stoch_rsi,cyber,bear_trending,1,100.0,41.0,27.42,mid,LOW_SAMPLE,0.0
stoch_rsi,cyber,bear_choppy,3,66.7,-4.33,23.9,mid,LOW_SAMPLE,0.0
vwap_reclaim,cyber,bull_trending,0,0.0,0.0,14.24,mid,LOW_SAMPLE,0.0
vwap_reclaim,cyber,bull_choppy,0,0.0,0.0,14.24,mid,LOW_SAMPLE,0.0
vwap_reclaim,cyber,bear_trending,0,0.0,0.0,14.24,mid,LOW_SAMPLE,0.0
vwap_reclaim,cyber,bear_choppy,0,0.0,0.0,14.24,mid,LOW_SAMPLE,0.0
gap,cyber,bull_trending,0,0.0,0.0,14.24,mid,LOW_SAMPLE,0.0
gap,cyber,bull_choppy,1,0.0,-14.0,7.94,mid,LOW_SAMPLE,0.0
gap,cyber,bear_trending,2,50.0,-13.51,10.23,mid,LOW_SAMPLE,0.0
gap,cyber,bear_choppy,5,60.0,15.8,39.96,mid,LOW_SAMPLE,15.258
liquidity_sweep,cyber,bull_trending,0,0.0,0.0,14.24,mid,LOW_SAMPLE,0.0
liquidity_sweep,cyber,bull_choppy,2,100.0,25.5,44.36,mid,LOW_SAMPLE,17.676
liquidity_sweep,cyber,bear_trending,1,0.0,-43.0,7.46,mid,LOW_SAMPLE,0.0
liquidity_sweep,cyber,bear_choppy,1,0.0,-19.0,5.68,mid,LOW_SAMPLE,0.0
futures_trend,cyber,bull_trending,0,0.0,0.0,14.24,mid,LOW_SAMPLE,0.0
futures_trend,cyber,bull_choppy,1,0.0,-14.0,8.31,mid,LOW_SAMPLE,0.0
futures_trend,cyber,bear_trending,5,40.0,-10.6,17.62,mid,LOW_SAMPLE,0.0
futures_trend,cyber,bear_choppy,0,0.0,0.0,14.24,mid,LOW_SAMPLE,0.0
momentum,finance,bull_trending,5,20.0,-7.6,-12.6,mid,LOW_SAMPLE,0.0
momentum,finance,bull_choppy,7,28.6,-4.0,-13.99,mid,LOW_SAMPLE,0.0
momentum,finance,bear_trending,6,50.0,8.0,9.93,mid,LOW_SAMPLE,7.168
momentum,finance,bear_choppy,13,15.4,-47.61,-36.15,mid,LOW_SAMPLE,0.0
mean_reversion,finance,bull_trending,5,40.0,-7.0,0.03,mid,LOW_SAMPLE,0.0
mean_reversion,finance,bull_choppy,13,15.4,-37.84,-43.0,mid,LOW_SAMPLE,0.0
mean_reversion,finance,bear_trending,8,50.0,10.5,-8.56,mid,LOW_SAMPLE,10.914
mean_reversion,finance,bear_choppy,12,25.0,-44.24,-18.82,mid,LOW_SAMPLE,0.0
breakout,finance,bull_trending,5,0.0,-28.6,-34.68,mid,LOW_SAMPLE,0.0
breakout,finance,bull_choppy,2,50.0,-19.01,0.85,mid,LOW_SAMPLE,0.0
breakout,finance,bear_trending,2,50.0,-3.0,1.87,mid,LOW_SAMPLE,0.0
breakout,finance,bear_choppy,4,0.0,-17.5,-21.53,mid,LOW_SAMPLE,0.0
supertrend,finance,bull_trending,6,0.0,-31.33,-38.72,mid,LOW_SAMPLE,0.0
supertrend,finance,bull_choppy,6,50.0,23.5,2.76,mid,LOW_SAMPLE,21.054
supertrend,finance,bear_trending,6,50.0,-21.99,18.86,mid,LOW_SAMPLE,0.0
supertrend,finance,bear_choppy,10,30.0,-27.21,-21.42,mid,LOW_SAMPLE,0.0
stoch_rsi,finance,bull_trending,4,0.0,-23.75,-30.35,mid,LOW_SAMPLE,0.0
stoch_rsi,finance,bull_choppy,10,40.0,5.61,9.56,mid,LOW_SAMPLE,5.167
stoch_rsi,finance,bear_trending,3,0.0,-25.33,-22.12,mid,LOW_SAMPLE,0.0
stoch_rsi,finance,bear_choppy,5,20.0,-9.0,-20.22,mid,LOW_SAMPLE,0.0
vwap_reclaim,finance,bull_trending,0,0.0,0.0,-6.07,mid,LOW_SAMPLE,0.0
vwap_reclaim,finance,bull_choppy,0,0.0,0.0,-6.07,mid,LOW_SAMPLE,0.0
vwap_reclaim,finance,bear_trending,0,0.0,0.0,-6.07,mid,LOW_SAMPLE,0.0
vwap_reclaim,finance,bear_choppy,0,0.0,0.0,-6.07,mid,LOW_SAMPLE,0.0
gap,finance,bull_trending,2,0.0,-83.5,-11.85,mid,LOW_SAMPLE,0.0
gap,finance,bull_choppy,6,33.3,-18.46,0.88,mid,LOW_SAMPLE,0.0
gap,finance,bear_trending,5,40.0,-32.75,-0.73,mid,LOW_SAMPLE,0.0
gap,finance,bear_choppy,8,25.0,-23.47,-26.89,mid,LOW_SAMPLE,0.0
liquidity_sweep,finance,bull_trending,4,50.0,-0.75,7.49,mid,LOW_SAMPLE,0.0
liquidity_sweep,finance,bull_choppy,11,36.4,-18.47,-4.24,mid,LOW_SAMPLE,0.0
liquidity_sweep,finance,bear_trending,6,33.3,-4.83,-11.21,mid,LOW_SAMPLE,0.0
liquidity_sweep,finance,bear_choppy,6,16.7,-64.69,-25.04,mid,LOW_SAMPLE,0.0
futures_trend,finance,bull_trending,6,16.7,-35.17,-17.1,mid,LOW_SAMPLE,0.0
futures_trend,finance,bull_choppy,1,0.0,-36.0,-12.41,mid,LOW_SAMPLE,0.0
futures_trend,finance,bear_trending,17,11.8,-34.88,-73.06,mid,LOW_SAMPLE,0.0
futures_trend,finance,bear_choppy,2,0.0,-12.0,-15.75,mid,LOW_SAMPLE,0.0
momentum,health,bull_trending,12,41.7,-1.42,12.45,mid,LOW_SAMPLE,0.0
momentum,health,bull_choppy,6,33.3,40.27,-4.81,mid,LOW_SAMPLE,0.0
momentum,health,bear_trending,4,50.0,-7.5,0.41,mid,LOW_SAMPLE,0.0
momentum,health,bear_choppy,3,33.3,-4.33,-13.92,mid,LOW_SAMPLE,0.0
mean_reversion,health,bull_trending,12,16.7,-59.73,-45.49,mid,LOW_SAMPLE,0.0
mean_reversion,health,bull_choppy,10,40.0,-31.4,7.02,mid,LOW_SAMPLE,0.0
mean_reversion,health,bear_trending,6,33.3,-7.5,-7.96,mid,LOW_SAMPLE,0.0
mean_reversion,health,bear_choppy,5,20.0,-8.8,-29.44,mid,LOW_SAMPLE,0.0
breakout,health,bull_trending,5,40.0,-2.6,-0.62,mid,LOW_SAMPLE,0.0
breakout,health,bull_choppy,1,100.0,9.0,9.05,mid,LOW_SAMPLE,0.0
breakout,health,bear_trending,4,50.0,-4.5,7.77,mid,LOW_SAMPLE,0.0
breakout,health,bear_choppy,1,100.0,8.0,1.29,mid,LOW_SAMPLE,0.0
supertrend,health,bull_trending,11,27.3,-11.65,-15.45,mid,LOW_SAMPLE,0.0
supertrend,health,bull_choppy,4,75.0,8.0,27.15,mid,LOW_SAMPLE,8.317
supertrend,health,bear_trending,2,100.0,26.5,11.7,mid,LOW_SAMPLE,18.368
supertrend,health,bear_choppy,3,0.0,-24.66,-19.57,mid,LOW_SAMPLE,0.0
stoch_rsi,health,bull_trending,4,0.0,-16.75,-25.66,mid,LOW_SAMPLE,0.0
stoch_rsi,health,bull_choppy,10,60.0,8.67,39.02,mid,LOW_SAMPLE,11.983
stoch_rsi,health,bear_trending,4,50.0,-0.75,-5.29,mid,LOW_SAMPLE,0.0
stoch_rsi,health,bear_choppy,6,33.3,-12.0,-21.02,mid,LOW_SAMPLE,0.0
vwap_reclaim,health,bull_trending,0,0.0,0.0,-3.86,mid,LOW_SAMPLE,0.0
vwap_reclaim,health,bull_choppy,0,0.0,0.0,-3.86,mid,LOW_SAMPLE,0.0
vwap_reclaim,health,bear_trending,0,0.0,0.0,-3.86,mid,LOW_SAMPLE,0.0
vwap_reclaim,health,bear_choppy,0,0.0,0.0,-3.86,mid,LOW_SAMPLE,0.0
gap,health,bull_trending,4,75.0,85.42,17.76,mid,LOW_SAMPLE,88.81
gap,health,bull_choppy,5,40.0,-4.4,3.19,mid,LOW_SAMPLE,0.0
gap,health,bear_trending,2,50.0,10.5,0.61,mid,LOW_SAMPLE,3.639
gap,health,bear_choppy,5,0.0,-80.69,-32.22,mid,LOW_SAMPLE,0.0
liquidity_sweep,health,bull_trending,8,25.0,-5.37,-15.12,mid,LOW_SAMPLE,0.0
liquidity_sweep,health,bull_choppy,10,30.0,-64.37,-2.07,mid,LOW_SAMPLE,0.0
liquidity_sweep,health,bear_trending,3,100.0,24.33,11.04,mid,LOW_SAMPLE,26.733
liquidity_sweep,health,bear_choppy,4,25.0,67.48,-17.35,mid,LOW_SAMPLE,0.0
futures_trend,health,bull_trending,13,46.2,21.61,14.88,mid,LOW_SAMPLE,25.588
futures_trend,health,bull_choppy,0,0.0,0.0,-3.86,mid,LOW_SAMPLE,0.0
futures_trend,health,bear_trending,4,75.0,12.5,16.86,mid,LOW_SAMPLE,12.996
futures_trend,health,bear_choppy,0,0.0,0.0,-3.86,mid,LOW_SAMPLE,0.0
momentum,energy,bull_trending,25,64.0,34.83,63.28,mid,LOW_SAMPLE,71.75
momentum,energy,bull_choppy,9,66.7,30.89,38.35,mid,LOW_SAMPLE,45.248
momentum,energy,bear_trending,1,0.0,-189.03,-41.02,mid,LOW_SAMPLE,0.0
momentum,energy,bear_choppy,5,60.0,50.79,1.42,mid,LOW_SAMPLE,49.042
mean_reversion,energy,bull_trending,20,10.0,-81.19,-135.82,mid,LOW_SAMPLE,0.0
mean_reversion,energy,bull_choppy,16,0.0,-152.01,-133.53,mid,LOW_SAMPLE,0.0
mean_reversion,energy,bear_trending,2,50.0,57.99,-13.8,mid,LOW_SAMPLE,20.097
mean_reversion,energy,bear_choppy,3,100.0,121.01,5.51,mid,LOW_SAMPLE,132.944
breakout,energy,bull_trending,8,62.5,16.73,11.59,mid,LOW_SAMPLE,21.749
breakout,energy,bull_choppy,4,100.0,130.28,21.85,mid,LOW_SAMPLE,180.61
breakout,energy,bear_trending,1,0.0,-192.12,-43.37,mid,LOW_SAMPLE,0.0
breakout,energy,bear_choppy,0,0.0,0.0,-34.78,mid,LOW_SAMPLE,0.0
supertrend,energy,bull_trending,23,39.1,-44.25,-5.59,mid,LOW_SAMPLE,0.0
supertrend,energy,bull_choppy,10,50.0,-4.77,17.36,mid,LOW_SAMPLE,0.0
supertrend,energy,bear_trending,2,50.0,47.97,-21.45,mid,LOW_SAMPLE,16.624
supertrend,energy,bear_choppy,4,0.0,-102.17,-50.74,mid,LOW_SAMPLE,0.0
stoch_rsi,energy,bull_trending,14,57.1,43.92,31.65,mid,LOW_SAMPLE,66.237
stoch_rsi,energy,bull_choppy,3,100.0,196.98,15.06,mid,LOW_SAMPLE,216.405
stoch_rsi,energy,bear_trending,0,0.0,0.0,-34.78,mid,LOW_SAMPLE,0.0
stoch_rsi,energy,bear_choppy,6,0.0,-110.33,-71.15,mid,LOW_SAMPLE,0.0
vwap_reclaim,energy,bull_trending,0,0.0,0.0,-34.78,mid,LOW_SAMPLE,0.0
vwap_reclaim,energy,bull_choppy,0,0.0,0.0,-34.78,mid,LOW_SAMPLE,0.0
vwap_reclaim,energy,bear_trending,0,0.0,0.0,-34.78,mid,LOW_SAMPLE,0.0
vwap_reclaim,energy,bear_choppy,0,0.0,0.0,-34.78,mid,LOW_SAMPLE,0.0
gap,energy,bull_trending,17,58.8,-5.14,1.62,mid,LOW_SAMPLE,0.0
gap,energy,bull_choppy,5,60.0,99.99,9.56,mid,LOW_SAMPLE,96.555
gap,energy,bear_trending,0,0.0,0.0,-34.78,mid,LOW_SAMPLE,0.0
gap,energy,bear_choppy,5,0.0,-99.71,-57.79,mid,LOW_SAMPLE,0.0
liquidity_sweep,energy,bull_trending,13,38.5,-46.64,-42.2,mid,LOW_SAMPLE,0.0
liquidity_sweep,energy,bull_choppy,7,28.6,-50.65,-33.38,mid,LOW_SAMPLE,0.0
liquidity_sweep,energy,bear_trending,0,0.0,0.0,-34.78,mid,LOW_SAMPLE,0.0
liquidity_sweep,energy,bear_choppy,6,16.7,-54.65,-42.22,mid,LOW_SAMPLE,0.0
futures_trend,energy,bull_trending,29,51.7,17.07,72.17,mid,LOW_SAMPLE,29.731
futures_trend,energy,bull_choppy,2,50.0,45.9,-19.04,mid,LOW_SAMPLE,15.908
futures_trend,energy,bear_trending,3,0.0,-188.62,-59.44,mid,LOW_SAMPLE,0.0
futures_trend,energy,bear_choppy,1,0.0,-76.07,-38.88,mid,LOW_SAMPLE,0.0
momentum,industrial,bull_trending,14,35.7,-45.18,-19.85,mid,LOW_SAMPLE,0.0
momentum,industrial,bull_choppy,20,40.0,9.24,-1.52,mid,LOW_SAMPLE,11.07
momentum,industrial,bear_trending,4,50.0,11.25,-24.85,mid,LOW_SAMPLE,7.798
momentum,industrial,bear_choppy,9,33.3,3.24,-14.41,mid,LOW_SAMPLE,0.0
