strategy,sector,regime,signals,win_rate,avg_r,alpha,best_session,flag,quality_score
mean_reversion,industrial,bull_trending,11,9.1,-51.53,-65.93,mid,LOW_SAMPLE,0.0
mean_reversion,industrial,bull_choppy,18,22.2,-42.87,-55.32,mid,LOW_SAMPLE,0.0
mean_reversion,industrial,bear_trending,2,100.0,29.5,-14.65,mid,LOW_SAMPLE,20.448
mean_reversion,industrial,bear_choppy,2,50.0,1.01,-24.2,mid,LOW_SAMPLE,0.349
breakout,industrial,bull_trending,7,28.6,-12.57,-28.65,mid,LOW_SAMPLE,0.0
breakout,industrial,bull_choppy,3,66.7,4.0,-2.78,mid,LOW_SAMPLE,2.931
breakout,industrial,bear_trending,2,0.0,-32.0,-35.61,mid,LOW_SAMPLE,0.0
breakout,industrial,bear_choppy,1,0.0,-50.98,-27.51,mid,LOW_SAMPLE,0.0
supertrend,industrial,bull_trending,17,35.3,-38.69,-35.34,mid,LOW_SAMPLE,0.0
supertrend,industrial,bull_choppy,11,54.5,13.34,21.89,mid,LOW_SAMPLE,17.453
supertrend,industrial,bear_trending,5,40.0,-1.6,-41.89,mid,LOW_SAMPLE,0.0
supertrend,industrial,bear_choppy,3,0.0,-100.28,-31.35,mid,LOW_SAMPLE,0.0
stoch_rsi,industrial,bull_trending,15,26.7,-37.87,-47.26,mid,LOW_SAMPLE,0.0
stoch_rsi,industrial,bull_choppy,6,50.0,-31.1,-1.09,mid,LOW_SAMPLE,0.0
stoch_rsi,industrial,bear_trending,4,0.0,-39.5,-37.73,mid,LOW_SAMPLE,0.0
stoch_rsi,industrial,bear_choppy,7,14.3,-77.0,-30.9,mid,LOW_SAMPLE,0.0
vwap_reclaim,industrial,bull_trending,0,0.0,0.0,-21.9,mid,LOW_SAMPLE,0.0
vwap_reclaim,industrial,bull_choppy,0,0.0,0.0,-21.9,mid,LOW_SAMPLE,0.0
vwap_reclaim,industrial,bear_trending,0,0.0,0.0,-21.9,mid,LOW_SAMPLE,0.0
vwap_reclaim,industrial,bear_choppy,0,0.0,0.0,-21.9,mid,LOW_SAMPLE,0.0
gap,industrial,bull_trending,9,22.2,-38.7,-35.95,mid,LOW_SAMPLE,0.0
gap,industrial,bull_choppy,5,80.0,46.4,7.4,mid,LOW_SAMPLE,59.743
gap,industrial,bear_trending,1,0.0,-11.0,-30.28,mid,LOW_SAMPLE,0.0
gap,industrial,bear_choppy,6,16.7,-26.83,-42.0,mid,LOW_SAMPLE,0.0
liquidity_sweep,industrial,bull_trending,12,41.7,9.26,-13.11,mid,LOW_SAMPLE,9.59
liquidity_sweep,industrial,bull_choppy,11,54.5,3.78,1.39,mid,LOW_SAMPLE,4.944
liquidity_sweep,industrial,bear_trending,1,0.0,-208.22,-26.77,mid,LOW_SAMPLE,0.0
liquidity_sweep,industrial,bear_choppy,4,50.0,38.05,-9.58,mid,LOW_SAMPLE,26.371
futures_trend,industrial,bull_trending,20,35.0,-36.27,-17.38,mid,LOW_SAMPLE,0.0
futures_trend,industrial,bull_choppy,3,33.3,-9.0,-20.56,mid,LOW_SAMPLE,0.0
futures_trend,industrial,bear_trending,8,12.5,-43.53,-61.9,mid,LOW_SAMPLE,0.0
futures_trend,industrial,bear_choppy,0,0.0,0.0,-21.9,mid,LOW_SAMPLE,0.0
momentum,consumer_disc,bull_trending,7,28.6,-17.45,-16.08,mid,LOW_SAMPLE,0.0
momentum,consumer_disc,bull_choppy,10,20.0,-15.4,-18.91,mid,LOW_SAMPLE,0.0
momentum,consumer_disc,bear_trending,7,42.9,-42.84,2.82,mid,LOW_SAMPLE,0.0
momentum,consumer_disc,bear_choppy,9,22.2,-56.1,-32.99,mid,LOW_SAMPLE,0.0
mean_reversion,consumer_disc,bull_trending,6,16.7,-40.82,-16.5,mid,LOW_SAMPLE,0.0
mean_reversion,consumer_disc,bull_choppy,14,28.6,-22.85,8.03,mid,LOW_SAMPLE,0.0
mean_reversion,consumer_disc,bear_trending,8,50.0,13.0,9.82,mid,LOW_SAMPLE,13.517
mean_reversion,consumer_disc,bear_choppy,11,36.4,-17.54,16.35,mid,LOW_SAMPLE,0.0
breakout,consumer_disc,bull_trending,2,50.0,4.0,6.24,mid,LOW_SAMPLE,1.385
breakout,consumer_disc,bull_choppy,3,33.3,-6.0,-7.39,mid,LOW_SAMPLE,0.0
breakout,consumer_disc,bear_trending,2,50.0,-78.5,6.08,mid,LOW_SAMPLE,0.0
breakout,consumer_disc,bear_choppy,2,0.0,-129.61,-14.16,mid,LOW_SAMPLE,0.0
supertrend,consumer_disc,bull_trending,11,27.3,-25.56,-18.05,mid,LOW_SAMPLE,0.0
supertrend,consumer_disc,bull_choppy,8,25.0,-9.62,-26.67,mid,LOW_SAMPLE,0.0
supertrend,consumer_disc,bear_trending,9,33.3,-30.22,-18.45,mid,LOW_SAMPLE,0.0
supertrend,consumer_disc,bear_choppy,6,33.3,4.67,4.25,mid,LOW_SAMPLE,0.0
stoch_rsi,consumer_disc,bull_trending,5,40.0,-5.79,4.21,mid,LOW_SAMPLE,0.0
stoch_rsi,consumer_disc,bull_choppy,5,40.0,-3.22,6.05,mid,LOW_SAMPLE,0.0
stoch_rsi,consumer_disc,bear_trending,4,50.0,-1.25,5.05,mid,LOW_SAMPLE,0.0
stoch_rsi,consumer_disc,bear_choppy,6,16.7,-16.01,-19.41,mid,LOW_SAMPLE,0.0
vwap_reclaim,consumer_disc,bull_trending,0,0.0,0.0,-0.65,mid,LOW_SAMPLE,0.0
vwap_reclaim,consumer_disc,bull_choppy,0,0.0,0.0,-0.65,mid,LOW_SAMPLE,0.0
vwap_reclaim,consumer_disc,bear_trending,0,0.0,0.0,-0.65,mid,LOW_SAMPLE,0.0
vwap_reclaim,consumer_disc,bear_choppy,0,0.0,0.0,-0.65,mid,LOW_SAMPLE,0.0
gap,consumer_disc,bull_trending,3,33.3,-28.02,-3.43,mid,LOW_SAMPLE,0.0
gap,consumer_disc,bull_choppy,7,28.6,-14.85,-17.55,mid,LOW_SAMPLE,0.0
gap,consumer_disc,bear_trending,4,50.0,-64.24,-7.71,mid,LOW_SAMPLE,0.0
gap,consumer_disc,bear_choppy,9,22.2,-27.9,-15.23,mid,LOW_SAMPLE,0.0
liquidity_sweep,consumer_disc,bull_trending,6,0.0,-48.67,-24.43,mid,LOW_SAMPLE,0.0
liquidity_sweep,consumer_disc,bull_choppy,7,14.3,-40.43,-18.35,mid,LOW_SAMPLE,0.0
liquidity_sweep,consumer_disc,bear_trending,4,75.0,29.77,33.85,mid,LOW_SAMPLE,30.952
liquidity_sweep,consumer_disc,bear_choppy,9,77.8,33.22,63.19,mid,LOW_SAMPLE,56.776
futures_trend,consumer_disc,bull_trending,10,30.0,-16.2,-0.2,mid,LOW_SAMPLE,0.0
futures_trend,consumer_disc,bull_choppy,1,0.0,-31.01,-7.01,mid,LOW_SAMPLE,0.0
futures_trend,consumer_disc,bear_trending,12,25.0,-40.08,-8.67,mid,LOW_SAMPLE,0.0
futures_trend,consumer_disc,bear_choppy,1,100.0,23.0,-0.27,mid,LOW_SAMPLE,0.0
momentum,consumer_stap,bull_trending,14,28.6,-34.68,-30.24,mid,LOW_SAMPLE,0.0
momentum,consumer_stap,bull_choppy,6,50.0,5.16,8.11,mid,LOW_SAMPLE,4.625
momentum,consumer_stap,bear_trending,2,50.0,-3.99,3.02,mid,LOW_SAMPLE,0.0
momentum,consumer_stap,bear_choppy,11,63.6,4.37,35.09,mid,LOW_SAMPLE,6.674
mean_reversion,consumer_stap,bull_trending,15,33.3,-16.86,1.55,mid,LOW_SAMPLE,0.0
mean_reversion,consumer_stap,bull_choppy,17,17.6,-55.51,-45.21,mid,LOW_SAMPLE,0.0
mean_reversion,consumer_stap,bear_trending,4,50.0,18.27,8.19,mid,LOW_SAMPLE,12.665
mean_reversion,consumer_stap,bear_choppy,15,33.3,-27.79,-1.23,mid,LOW_SAMPLE,0.0
breakout,consumer_stap,bull_trending,5,60.0,4.24,6.89,mid,LOW_SAMPLE,4.091
breakout,consumer_stap,bull_choppy,2,50.0,8.53,2.41,mid,LOW_SAMPLE,2.955
breakout,consumer_stap,bear_trending,0,0.0,0.0,-3.17,mid,LOW_SAMPLE,0.0
breakout,consumer_stap,bear_choppy,3,0.0,-71.44,-16.0,mid,LOW_SAMPLE,0.0
supertrend,consumer_stap,bull_trending,5,20.0,-60.44,-9.06,mid,LOW_SAMPLE,0.0
supertrend,consumer_stap,bull_choppy,10,30.0,-26.24,-8.61,mid,LOW_SAMPLE,0.0
supertrend,consumer_stap,bear_trending,4,50.0,-19.05,6.27,mid,LOW_SAMPLE,0.0
supertrend,consumer_stap,bear_choppy,7,0.0,-81.24,-31.6,mid,LOW_SAMPLE,0.0
stoch_rsi,consumer_stap,bull_trending,7,28.6,-24.61,-17.08,mid,LOW_SAMPLE,0.0
stoch_rsi,consumer_stap,bull_choppy,6,33.3,-41.37,-1.2,mid,LOW_SAMPLE,0.0
stoch_rsi,consumer_stap,bear_trending,3,66.7,31.67,-5.93,mid,LOW_SAMPLE,23.193
stoch_rsi,consumer_stap,bear_choppy,10,40.0,-4.35,-9.68,mid,LOW_SAMPLE,0.0
vwap_reclaim,consumer_stap,bull_trending,0,0.0,0.0,-3.17,mid,LOW_SAMPLE,0.0
vwap_reclaim,consumer_stap,bull_choppy,0,0.0,0.0,-3.17,mid,LOW_SAMPLE,0.0
vwap_reclaim,consumer_stap,bear_trending,0,0.0,0.0,-3.17,mid,LOW_SAMPLE,0.0
vwap_reclaim,consumer_stap,bear_choppy,0,0.0,0.0,-3.17,mid,LOW_SAMPLE,0.0
gap,consumer_stap,bull_trending,1,0.0,-104.96,-6.77,mid,LOW_SAMPLE,0.0
gap,consumer_stap,bull_choppy,3,100.0,50.0,24.99,mid,LOW_SAMPLE,54.929
gap,consumer_stap,bear_trending,0,0.0,0.0,-3.17,mid,LOW_SAMPLE,0.0
gap,consumer_stap,bear_choppy,2,50.0,7.5,-5.93,mid,LOW_SAMPLE,2.598
liquidity_sweep,consumer_stap,bull_trending,8,37.5,-33.59,0.63,mid,LOW_SAMPLE,0.0
liquidity_sweep,consumer_stap,bull_choppy,8,12.5,-48.38,-20.59,mid,LOW_SAMPLE,0.0
liquidity_sweep,consumer_stap,bear_trending,5,60.0,1.01,1.43,mid,LOW_SAMPLE,0.979
liquidity_sweep,consumer_stap,bear_choppy,10,30.0,-21.61,-11.13,mid,LOW_SAMPLE,0.0
futures_trend,consumer_stap,bull_trending,15,33.3,-22.28,-10.86,mid,LOW_SAMPLE,0.0
futures_trend,consumer_stap,bull_choppy,0,0.0,0.0,-3.17,mid,LOW_SAMPLE,0.0
futures_trend,consumer_stap,bear_trending,5,40.0,-3.6,0.24,mid,LOW_SAMPLE,0.0
futures_trend,consumer_stap,bear_choppy,1,0.0,-54.02,-9.18,mid,LOW_SAMPLE,0.0
momentum,reit,bull_trending,3,66.7,4.66,5.91,mid,LOW_SAMPLE,3.413
momentum,reit,bull_choppy,6,16.7,-14.5,-42.64,mid,LOW_SAMPLE,0.0
momentum,reit,bear_trending,2,0.0,-49.97,-22.83,mid,LOW_SAMPLE,0.0
momentum,reit,bear_choppy,5,40.0,-18.41,-9.48,mid,LOW_SAMPLE,0.0
mean_reversion,reit,bull_trending,3,0.0,-7.67,-25.46,mid,LOW_SAMPLE,0.0
mean_reversion,reit,bull_choppy,7,28.6,-20.85,-16.14,mid,LOW_SAMPLE,0.0
mean_reversion,reit,bear_trending,0,0.0,0.0,-13.41,mid,LOW_SAMPLE,0.0
mean_reversion,reit,bear_choppy,4,75.0,15.26,10.2,mid,LOW_SAMPLE,15.862
breakout,reit,bull_trending,2,50.0,-24.98,-6.33,mid,LOW_SAMPLE,0.0
breakout,reit,bull_choppy,2,50.0,10.49,-8.37,mid,LOW_SAMPLE,3.636
breakout,reit,bear_trending,0,0.0,0.0,-13.41,mid,LOW_SAMPLE,0.0
breakout,reit,bear_choppy,2,0.0,-27.0,-23.94,mid,LOW_SAMPLE,0.0
supertrend,reit,bull_trending,2,50.0,-24.02,-5.59,mid,LOW_SAMPLE,0.0
supertrend,reit,bull_choppy,3,33.3,-12.35,-12.4,mid,LOW_SAMPLE,0.0
supertrend,reit,bear_trending,1,0.0,-59.98,-18.71,mid,LOW_SAMPLE,0.0
supertrend,reit,bear_choppy,4,25.0,-15.76,-20.26,mid,LOW_SAMPLE,0.0
stoch_rsi,reit,bull_trending,2,50.0,-23.98,-7.1,mid,LOW_SAMPLE,0.0
stoch_rsi,reit,bull_choppy,5,40.0,-4.8,-0.91,mid,LOW_SAMPLE,0.0
stoch_rsi,reit,bear_trending,1,100.0,41.0,-3.76,mid,LOW_SAMPLE,0.0
stoch_rsi,reit,bear_choppy,3,0.0,-21.67,-24.34,mid,LOW_SAMPLE,0.0
vwap_reclaim,reit,bull_trending,0,0.0,0.0,-13.41,mid,LOW_SAMPLE,0.0
vwap_reclaim,reit,bull_choppy,0,0.0,0.0,-13.41,mid,LOW_SAMPLE,0.0
vwap_reclaim,reit,bear_trending,0,0.0,0.0,-13.41,mid,LOW_SAMPLE,0.0
vwap_reclaim,reit,bear_choppy,0,0.0,0.0,-13.41,mid,LOW_SAMPLE,0.0
gap,reit,bull_trending,2,50.0,-24.01,-6.12,mid,LOW_SAMPLE,0.0
gap,reit,bull_choppy,0,0.0,0.0,-13.41,mid,LOW_SAMPLE,0.0
gap,reit,bear_trending,0,0.0,0.0,-13.41,mid,LOW_SAMPLE,0.0
gap,reit,bear_choppy,2,0.0,-52.02,-26.47,mid,LOW_SAMPLE,0.0
liquidity_sweep,reit,bull_trending,3,0.0,-42.33,-27.97,mid,LOW_SAMPLE,0.0
liquidity_sweep,reit,bull_choppy,4,50.0,3.75,-11.47,mid,LOW_SAMPLE,2.598
liquidity_sweep,reit,bear_trending,1,0.0,-42.99,-18.28,mid,LOW_SAMPLE,0.0
liquidity_sweep,reit,bear_choppy,3,0.0,-37.67,-25.2,mid,LOW_SAMPLE,0.0
futures_trend,reit,bull_trending,2,50.0,-24.98,-6.33,mid,LOW_SAMPLE,0.0
futures_trend,reit,bull_choppy,1,100.0,61.99,-2.15,mid,LOW_SAMPLE,0.0
futures_trend,reit,bear_trending,4,25.0,-19.24,-18.38,mid,LOW_SAMPLE,0.0
futures_trend,reit,bear_choppy,1,0.0,-10.0,-18.85,mid,LOW_SAMPLE,0.0
momentum,utility,bull_trending,6,16.7,-51.5,-13.19,mid,LOW_SAMPLE,0.0
momentum,utility,bull_choppy,2,50.0,-10.5,-10.47,mid,LOW_SAMPLE,0.0
momentum,utility,bear_trending,2,50.0,11.99,-7.24,mid,LOW_SAMPLE,4.154
momentum,utility,bear_choppy,2,0.0,-73.56,-18.48,mid,LOW_SAMPLE,0.0
mean_reversion,utility,bull_trending,6,66.7,18.51,-6.38,mid,LOW_SAMPLE,22.106
mean_reversion,utility,bull_choppy,2,0.0,-72.96,-18.94,mid,LOW_SAMPLE,0.0
mean_reversion,utility,bear_trending,5,40.0,-16.22,-5.55,mid,LOW_SAMPLE,0.0
mean_reversion,utility,bear_choppy,2,50.0,7.03,-4.3,mid,LOW_SAMPLE,2.436
breakout,utility,bull_trending,1,0.0,-61.0,-12.49,mid,LOW_SAMPLE,0.0
breakout,utility,bull_choppy,0,0.0,0.0,-11.53,mid,LOW_SAMPLE,0.0
breakout,utility,bear_trending,1,0.0,-95.02,-15.32,mid,LOW_SAMPLE,0.0
breakout,utility,bear_choppy,1,0.0,-65.95,-14.89,mid,LOW_SAMPLE,0.0
supertrend,utility,bull_trending,6,83.3,50.16,5.82,mid,LOW_SAMPLE,74.896
supertrend,utility,bull_choppy,0,0.0,0.0,-11.53,mid,LOW_SAMPLE,0.0
supertrend,utility,bear_trending,2,0.0,-81.03,-18.76,mid,LOW_SAMPLE,0.0
supertrend,utility,bear_choppy,2,50.0,-3.56,-6.29,mid,LOW_SAMPLE,0.0
stoch_rsi,utility,bull_trending,5,20.0,-44.01,-16.62,mid,LOW_SAMPLE,0.0
stoch_rsi,utility,bull_choppy,3,33.3,-35.33,-12.56,mid,LOW_SAMPLE,0.0
stoch_rsi,utility,bear_trending,2,0.0,-78.47,-17.71,mid,LOW_SAMPLE,0.0
stoch_rsi,utility,bear_choppy,0,0.0,0.0,-11.53,mid,LOW_SAMPLE,0.0
vwap_reclaim,utility,bull_trending,0,0.0,0.0,-11.53,mid,LOW_SAMPLE,0.0
vwap_reclaim,utility,bull_choppy,0,0.0,0.0,-11.53,mid,LOW_SAMPLE,0.0
vwap_reclaim,utility,bear_trending,0,0.0,0.0,-11.53,mid,LOW_SAMPLE,0.0
vwap_reclaim,utility,bear_choppy,0,0.0,0.0,-11.53,mid,LOW_SAMPLE,0.0
gap,utility,bull_trending,0,0.0,0.0,-11.53,mid,LOW_SAMPLE,0.0
gap,utility,bull_choppy,1,0.0,-84.0,-11.83,mid,LOW_SAMPLE,0.0
gap,utility,bear_trending,0,0.0,0.0,-11.53,mid,LOW_SAMPLE,0.0
gap,utility,bear_choppy,0,0.0,0.0,-11.53,mid,LOW_SAMPLE,0.0
liquidity_sweep,utility,bull_trending,5,40.0,-27.99,-13.37,mid,LOW_SAMPLE,0.0
liquidity_sweep,utility,bull_choppy,2,50.0,-11.06,-9.79,mid,LOW_SAMPLE,0.0
liquidity_sweep,utility,bear_trending,2,0.0,-82.51,-18.59,mid,LOW_SAMPLE,0.0
liquidity_sweep,utility,bear_choppy,2,100.0,88.51,3.8,mid,LOW_SAMPLE,61.347
futures_trend,utility,bull_trending,9,22.2,-43.33,-8.39,mid,LOW_SAMPLE,0.0
futures_trend,utility,bull_choppy,0,0.0,0.0,-11.53,mid,LOW_SAMPLE,0.0
futures_trend,utility,bear_trending,3,0.0,-85.04,-22.53,mid,LOW_SAMPLE,0.0
futures_trend,utility,bear_choppy,2,100.0,73.51,3.87,mid,LOW_SAMPLE,50.951
momentum,crypto,bull_trending,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
momentum,crypto,bull_choppy,2,0.0,-1.5,9.51,mid,LOW_SAMPLE,0.0
momentum,crypto,bear_trending,3,33.3,-0.33,8.7,mid,LOW_SAMPLE,0.0
momentum,crypto,bear_choppy,2,0.0,-2.0,-5.54,mid,LOW_SAMPLE,0.0
mean_reversion,crypto,bull_trending,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
mean_reversion,crypto,bull_choppy,1,100.0,2.0,58.53,mid,LOW_SAMPLE,0.0
mean_reversion,crypto,bear_trending,2,50.0,-0.0,37.47,mid,LOW_SAMPLE,0.0
mean_reversion,crypto,bear_choppy,1,0.0,-2.0,16.11,mid,LOW_SAMPLE,0.0
breakout,crypto,bull_trending,1,0.0,-3.0,18.52,mid,LOW_SAMPLE,0.0
breakout,crypto,bull_choppy,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
breakout,crypto,bear_trending,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
breakout,crypto,bear_choppy,1,100.0,2.0,70.53,mid,LOW_SAMPLE,0.0
supertrend,crypto,bull_trending,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
supertrend,crypto,bull_choppy,1,0.0,-1.0,22.55,mid,LOW_SAMPLE,0.0
supertrend,crypto,bear_trending,2,50.0,-0.5,56.73,mid,LOW_SAMPLE,0.0
supertrend,crypto,bear_choppy,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
stoch_rsi,crypto,bull_trending,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
stoch_rsi,crypto,bull_choppy,1,0.0,-1.0,22.55,mid,LOW_SAMPLE,0.0
stoch_rsi,crypto,bear_trending,2,50.0,-1.0,46.32,mid,LOW_SAMPLE,0.0
stoch_rsi,crypto,bear_choppy,1,0.0,-3.0,26.06,mid,LOW_SAMPLE,0.0
vwap_reclaim,crypto,bull_trending,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
vwap_reclaim,crypto,bull_choppy,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
vwap_reclaim,crypto,bear_trending,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
vwap_reclaim,crypto,bear_choppy,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
gap,crypto,bull_trending,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
gap,crypto,bull_choppy,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
gap,crypto,bear_trending,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
gap,crypto,bear_choppy,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
liquidity_sweep,crypto,bull_trending,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
liquidity_sweep,crypto,bull_choppy,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
liquidity_sweep,crypto,bear_trending,1,100.0,3.0,56.06,mid,LOW_SAMPLE,0.0
liquidity_sweep,crypto,bear_choppy,1,100.0,2.0,67.26,mid,LOW_SAMPLE,0.0
futures_trend,crypto,bull_trending,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
futures_trend,crypto,bull_choppy,0,0.0,0.0,37.22,mid,LOW_SAMPLE,0.0
futures_trend,crypto,bear_trending,1,0.0,-3.0,18.84,mid,LOW_SAMPLE,0.0
futures_trend,crypto,bear_choppy,1,100.0,2.0,76.54,mid,LOW_SAMPLE,0.0
momentum,futures,bull_trending,10,40.0,15.2,6.15,mid,LOW_SAMPLE,13.998
momentum,futures,bull_choppy,1,100.0,1.0,-16.8,mid,LOW_SAMPLE,0.0
momentum,futures,bear_trending,1,0.0,-132.21,-31.11,mid,LOW_SAMPLE,0.0
momentum,futures,bear_choppy,4,25.0,-1.28,-26.68,mid,LOW_SAMPLE,0.0
mean_reversion,futures,bull_trending,10,10.0,-45.79,-77.56,mid,LOW_SAMPLE,0.0
mean_reversion,futures,bull_choppy,3,33.3,-44.27,-17.58,mid,LOW_SAMPLE,0.0
mean_reversion,futures,bear_trending,2,50.0,-68.42,-22.16,mid,LOW_SAMPLE,0.0
mean_reversion,futures,bear_choppy,2,50.0,71.47,-18.14,mid,LOW_SAMPLE,24.771
breakout,futures,bull_trending,5,40.0,20.2,-14.54,mid,LOW_SAMPLE,13.003
breakout,futures,bull_choppy,2,100.0,66.5,4.16,mid,LOW_SAMPLE,46.092
breakout,futures,bear_trending,1,0.0,-1.0,-29.91,mid,LOW_SAMPLE,0.0
breakout,futures,bear_choppy,2,0.0,-71.51,-33.89,mid,LOW_SAMPLE,0.0
supertrend,futures,bull_trending,7,42.9,21.43,5.26,mid,LOW_SAMPLE,17.868
supertrend,futures,bull_choppy,1,100.0,1.0,-16.8,mid,LOW_SAMPLE,0.0
supertrend,futures,bear_trending,4,0.0,-68.31,-41.54,mid,LOW_SAMPLE,0.0
supertrend,futures,bear_choppy,3,33.3,-0.33,-32.74,mid,LOW_SAMPLE,0.0
stoch_rsi,futures,bull_trending,5,60.0,8.6,2.23,mid,LOW_SAMPLE,8.303
stoch_rsi,futures,bull_choppy,2,0.0,-1.0,-31.69,mid,LOW_SAMPLE,0.0
stoch_rsi,futures,bear_trending,2,0.0,-67.57,-34.4,mid,LOW_SAMPLE,0.0
stoch_rsi,futures,bear_choppy,0,0.0,0.0,-26.32,mid,LOW_SAMPLE,0.0
vwap_reclaim,futures,bull_trending,0,0.0,0.0,-26.32,mid,LOW_SAMPLE,0.0
vwap_reclaim,futures,bull_choppy,0,0.0,0.0,-26.32,mid,LOW_SAMPLE,0.0
vwap_reclaim,futures,bear_trending,0,0.0,0.0,-26.32,mid,LOW_SAMPLE,0.0
vwap_reclaim,futures,bear_choppy,0,0.0,0.0,-26.32,mid,LOW_SAMPLE,0.0
gap,futures,bull_trending,4,25.0,-17.0,-44.51,mid,LOW_SAMPLE,0.0
gap,futures,bull_choppy,1,0.0,-1.0,-33.09,mid,LOW_SAMPLE,0.0
gap,futures,bear_trending,1,100.0,1.0,-25.33,mid,LOW_SAMPLE,0.0
gap,futures,bear_choppy,1,0.0,-1.0,-35.73,mid,LOW_SAMPLE,0.0
liquidity_sweep,futures,bull_trending,2,100.0,63.5,-0.08,mid,LOW_SAMPLE,44.013
liquidity_sweep,futures,bull_choppy,7,42.9,-19.3,-28.27,mid,LOW_SAMPLE,0.0
liquidity_sweep,futures,bear_trending,2,50.0,0.0,-20.96,mid,LOW_SAMPLE,0.0
liquidity_sweep,futures,bear_choppy,1,0.0,-136.09,-30.93,mid,LOW_SAMPLE,0.0
futures_trend,futures,bull_trending,11,54.5,13.82,14.78,mid,LOW_SAMPLE,18.071
futures_trend,futures,bull_choppy,0,0.0,0.0,-26.32,mid,LOW_SAMPLE,0.0
futures_trend,futures,bear_trending,5,0.0,-54.66,-50.78,mid,LOW_SAMPLE,0.0
futures_trend,futures,bear_choppy,0,0.0,0.0,-26.32,mid,LOW_SAMPLE,0.0
